id,name,age,department,salary
1,Alice,30,HR,5000
3,Charlie,29,IT,6000
4,David,35,Finance,8000
5,Eve,28,HR,5200
6,Frank,31,IT,6400
7,Grace,26,Marketing,4800
8,Hank,27,Sales,5100
9,Ivy,32,HR,5500
10,Jack,40,Finance,9000
12,Leo,33,IT,7000
14,Nate,38,IT,7500
15,Olivia,29,Finance,6700
16,Paul,41,HR,5800
17,Quinn,30,Sales,5200
18,Rachel,27,Marketing,4900
19,Steve,45,Finance,9500
21,Uma,34,IT,7100
22,Victor,36,HR,6000
23,Wendy,28,Finance,6200
24,Xander,39,IT,7700
25,Yara,31,Marketing,5300
26,Zane,26,Sales,4800
27,Abby,37,HR,6100
28,Brian,30,Finance,6800
29,Cara,29,Marketing,5500
30,Dan,42,IT,8000
